reference_id,source_id,talk_title,speaker,institution,source_url,local_cache_file,actual_page_number,page_function,scientific_object,evidence_type,title_style,visual_dominance,approximate_figure_text_ratio,equation_usage,uncertainty_handling,negative_result_handling,why_this_specific_page_works,what_to_learn,what_not_to_copy,suitable_contexts,rights_note,verification_status,source_file_sha256,rendered_page_sha256,inspection_date,inspection_means,visible_page_title,short_page_specific_observation
RRL-011,SRC-004,Thesis Proposal Slides,Long Pham,Carnegie Mellon University,https://www.cs.cmu.edu/~longp/publication/proposal/slides.pdf,cmu_long_pham_proposal_slides.pdf,30,FINITE_SAMPLE,limitations of hybrid AARA,limitation analysis,limitation title,counterexample diagram,0.55/0.45,none,finite recursion/time limits shown,limitation is explicit,The slide makes a limitation visual and concrete instead of burying it in text.,Use limitation pages to name failure conditions and show why they matter.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,35598fca6ff5a1586df86c9cfa152c801ee61e5ab81d543b718f1c3862e26871,2eefa00247d7ed169dc06ebd7dfa5f2239ee965a108008f2ce87e979d6495a33,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Limitations of Hybrid AARA,Bounded sort and memoization examples reveal where hybrid assumptions break.
RRL-012,SRC-004,Thesis Proposal Slides,Long Pham,Carnegie Mellon University,https://www.cs.cmu.edu/~longp/publication/proposal/slides.pdf,cmu_long_pham_proposal_slides.pdf,42,SUPERVISOR_DECISION,proposal conclusion and timeline endpoint,conclusion synthesis,conclusion title,pipeline summary,0.45/0.55,none,future deadline explicit,none,The conclusion reuses the core mechanism and ties it to proposal deliverables.,End a proposal section by restating mechanism plus next milestone.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,35598fca6ff5a1586df86c9cfa152c801ee61e5ab81d543b718f1c3862e26871,a20fbf9ea338cd3ccd4759b9c51f65b20f0a9799dbc64f8f3665de25049dfe4a,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Conclusion,Hybrid mechanism appears beside the two-part conclusion.
RRL-013,SRC-005,What Can We Learn from Inter-Annotator Variability in Skin Lesion Segmentation?,Kumar Abhishek and collaborators,SFU / MICCAI 2025,https://www.sfu.ca/~kabhishe/data/files/ISIC2025_Presentation.pdf,sfu_isic2025_presentation.pdf,14,MEDICAL_IMAGE_COMPARISON,representative skin lesion samples,image evidence,sample title,image grid,0.85/0.15,none,sample variability visible,none,Representative samples show the visual unit before annotator-agreement metrics.,Introduce medical-image datasets with actual sample diversity before statistics.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,7280463da41e6919a0e29c9fb129cee260dd6e332dcecf34710e5054a4995b24,e89c5cc1368990d4dda3fc7e74ed5c08928f34467b0a43e4856a34f224b26271,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,IMA++: Representative Samples,Grid of lesion samples makes the annotation problem concrete.
RRL-014,SRC-005,What Can We Learn from Inter-Annotator Variability in Skin Lesion Segmentation?,Kumar Abhishek and collaborators,SFU / MICCAI 2025,https://www.sfu.ca/~kabhishe/data/files/ISIC2025_Presentation.pdf,sfu_isic2025_presentation.pdf,18,ESTIMATOR,inter-annotator agreement formula with masks,metric definition,metric title,formula plus masks,0.45/0.55,central,agreement definition visible,none,The page binds the agreement estimator to example masks so the formula is not abstract.,"For metrics, place formula next to the exact visual object being scored.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,7280463da41e6919a0e29c9fb129cee260dd6e332dcecf34710e5054a4995b24,bc7a72ab5809fe7e8a3f7d950a15607168e10c4fda573591e6d8250217ba9b68,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Quantifying Inter-Annotator Agreement (IAA),IAA formula is paired with two binary masks.
RRL-015,SRC-005,What Can We Learn from Inter-Annotator Variability in Skin Lesion Segmentation?,Kumar Abhishek and collaborators,SFU / MICCAI 2025,https://www.sfu.ca/~kabhishe/data/files/ISIC2025_Presentation.pdf,sfu_isic2025_presentation.pdf,22,CONFIDENCE_INTERVAL,bootstrap confidence interval surface,uncertainty interval,metric title,surface plot,0.70/0.30,light formula,confidence interval shown and annotated,none,The uncertainty page moves from point agreement to interval evidence and highlights the distribution shape.,"Show interval behavior, not just a single metric, when annotation variability matters.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,7280463da41e6919a0e29c9fb129cee260dd6e332dcecf34710e5054a4995b24,ba2da3997e903783feb223458fd76019e0f2c60b3341aaf912f50b837c316dba,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Quantifying Inter-Annotator Agreement (IAA),Observed distribution and 95 percent CI are called out on a surface plot.
RRL-016,SRC-005,What Can We Learn from Inter-Annotator Variability in Skin Lesion Segmentation?,Kumar Abhishek and collaborators,SFU / MICCAI 2025,https://www.sfu.ca/~kabhishe/data/files/ISIC2025_Presentation.pdf,sfu_isic2025_presentation.pdf,28,REAL_DATA_APPLICATION,malignancy affects IAA table,subgroup comparison,finding title,table dominant,0.60/0.40,none,p-values and coefficients visible,none,The table ties a clinical subgroup to annotator variability with effect estimates.,Biostatistics pages should name the clinical unit and subgroup before giving coefficients.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,7280463da41e6919a0e29c9fb129cee260dd6e332dcecf34710e5054a4995b24,c7ac668ca7b33103b6684ac11fd21fe040ef372af5288e722f383986076c62ea,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Lesion Malignancy Signiﬁcantly Affects IAA,Malignant vs benign rows summarize IAA association estimates.
RRL-017,SRC-005,What Can We Learn from Inter-Annotator Variability in Skin Lesion Segmentation?,Kumar Abhishek and collaborators,SFU / MICCAI 2025,https://www.sfu.ca/~kabhishe/data/files/ISIC2025_Presentation.pdf,sfu_isic2025_presentation.pdf,40,REAL_DATA_APPLICATION,IAA prediction from images regression results,predictive model result,question title,forest/point plot,0.65/0.35,none,model uncertainty shown by intervals,none,The result answers whether image-only prediction carries signal and shows model comparison.,"Put the question, model family, and effect-size plot on the same page.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,7280463da41e6919a0e29c9fb129cee260dd6e332dcecf34710e5054a4995b24,d315d4747f9ddf2547f82fba8255214420b9e86edb870a70abaf1305110ba3f4,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,13 models of varying,Regression and classification heads are compared for IAA prediction.
RRL-018,SRC-005,What Can We Learn from Inter-Annotator Variability in Skin Lesion Segmentation?,Kumar Abhishek and collaborators,SFU / MICCAI 2025,https://www.sfu.ca/~kabhishe/data/files/ISIC2025_Presentation.pdf,sfu_isic2025_presentation.pdf,52,NEGATIVE_RESULT,multi-task models diagnose better than diagnosis-only models,model comparison,result title,line plots,0.70/0.30,none,performance curves visible,diagnosis-only comparison is explicit,The slide states a negative comparator and shows why the multi-task setup improves the endpoint.,Keep the failing baseline visible when it is scientifically informative.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,7280463da41e6919a0e29c9fb129cee260dd6e332dcecf34710e5054a4995b24,dd96ec8db97bdc9ad4bdfa2db23a1a275314e9ba9b6609861b2dac579e439bb9,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Multi-Task Models Diagnose Better than Diag. Only Models,Diagnosis-only baseline is shown against multi-task alternatives.
RRL-019,SRC-006,Disentangled PET Lesion Segmentation,Kumar Abhishek and collaborators,SFU / ISBI 2025,https://www.sfu.ca/~kabhishe/data/files/ISBI2025_Presentation.pdf,sfu_isbi2025_presentation.pdf,3,EXPERIMENT_DESIGN,automatic lesion segmentation applications,task overview,introduction title,pipeline plus examples,0.70/0.30,none,not explicit,none,The page links PET segmentation to concrete downstream tasks before the model architecture.,"Start method talks by connecting task, data, and application unit.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,645a7c27e633525f81a302bce2135cd75439dc06eaf51d52c707a52197466927,3403aba3c209bce280a8e15456feea972da75ed3200d35e67131024eb1dfea93,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Introduction,PET applications and lesion examples appear before architecture details.
RRL-020,SRC-006,Disentangled PET Lesion Segmentation,Kumar Abhishek and collaborators,SFU / ISBI 2025,https://www.sfu.ca/~kabhishe/data/files/ISBI2025_Presentation.pdf,sfu_isbi2025_presentation.pdf,17,STATISTICAL_MODEL,PET-Disentangler overall objective function,model objective,objective title,formula and explanatory text,0.35/0.65,central,critic and overall objective losses are explicit,none,"The objective page states that the critic is optimized separately and names the overall objective for the encoder, segmentation decoder, and image decoder.","For model pages, make objective/loss roles visibly correspond to model components.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,645a7c27e633525f81a302bce2135cd75439dc06eaf51d52c707a52197466927,9e483c3fe2510675658a2058d390939a01cf606040bb339444aa56fc0438c593,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Overall objective function,Overall objective function page states critic loss and network-component objective.
RRL-021,SRC-006,Disentangled PET Lesion Segmentation,Kumar Abhishek and collaborators,SFU / ISBI 2025,https://www.sfu.ca/~kabhishe/data/files/ISBI2025_Presentation.pdf,sfu_isbi2025_presentation.pdf,20,RESULT_FIGURE,lesion segmentation Dice table,quantitative table,result title,table dominant,0.60/0.40,none,standard deviations visible,none,"The result table has disease subgroup columns and method rows, making the endpoint structure explicit.",Medical-imaging result pages should keep subgroups and endpoints visible.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,645a7c27e633525f81a302bce2135cd75439dc06eaf51d52c707a52197466927,aa9df094edd4c807300444c1a2bb7b6c9e5f696731310458577c35f9ab6a94f0,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Results,Healthy/disease/overall Dice values are compared across methods.
RRL-022,SRC-006,Disentangled PET Lesion Segmentation,Kumar Abhishek and collaborators,SFU / ISBI 2025,https://www.sfu.ca/~kabhishe/data/files/ISBI2025_Presentation.pdf,sfu_isbi2025_presentation.pdf,21,MEDICAL_IMAGE_COMPARISON,"PET input, GT, predictions, reconstruction panels",image comparison,result evidence,image grid,0.90/0.10,none,qualitative uncertainty implicit,failure/success differences visible,The same-case panel makes qualitative performance inspectable rather than relying only on Dice.,"Use aligned panels for image, GT, prediction, and reconstruction in failure/result pages.","Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,645a7c27e633525f81a302bce2135cd75439dc06eaf51d52c707a52197466927,3859a1913a078e3e60ad8aa166a1ab262af56a93d6ecf57dbf1f269b84b7bef4,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,"Rows show input, ground truth, baselines, model output, probability and reconstruction.","Rows show input, ground truth, baselines, model output, probability and reconstruction."
RRL-023,SRC-013,Bayesian Workflow,Andrew Gelman,Columbia / University of Washington Biostatistics,https://sites.stat.columbia.edu/gelman/presentations/bayesian_workflow.pdf,gelman_actual_bayesian_workflow.pdf,8,RESULT_FIGURE,team-quality estimate forest plot,posterior interval plot,graph title,forest plot,0.80/0.20,none,credible intervals visible,none,The forest plot ranks many groups while preserving uncertainty intervals.,Use interval plots when ranking is uncertain.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,00558f5289645182a95963da272ece15629b3c1479ba9e306c402ac2f8676394,bfee697e0c591051c9b9e503967e896dea75403da5b16ed1c9fcc725a19bd7a4,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Graph the estimates,Team-quality estimates are shown with intervals and ordering.
RRL-024,SRC-013,Bayesian Workflow,Andrew Gelman,Columbia / University of Washington Biostatistics,https://sites.stat.columbia.edu/gelman/presentations/bayesian_workflow.pdf,gelman_actual_bayesian_workflow.pdf,10,MODEL_CHECK,prediction comparison against model,posterior predictive check,comparison title,interval plot,0.75/0.25,none,predictive intervals visible,none,The page compares fitted model expectations with observed case-score differences.,Model-check pages should compare model output to real held-out structure.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,00558f5289645182a95963da272ece15629b3c1479ba9e306c402ac2f8676394,7d3908c3a8c621b7fdb1848ea67ddfadc8e78ef62f8c237470955a068fa6eb76,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Compare model to predictions,Predictions are compared with observed game-score differentials.
RRL-025,SRC-013,Bayesian Workflow,Andrew Gelman,Columbia / University of Washington Biostatistics,https://sites.stat.columbia.edu/gelman/presentations/bayesian_workflow.pdf,gelman_actual_bayesian_workflow.pdf,11,NEGATIVE_RESULT,after finding and fixing a bug comparison,bug-fix model check,negative/fix title,interval plot,0.75/0.25,none,post-fix uncertainty visible,bug is explicit,"The slide shows model debugging as a legitimate scientific result, not an embarrassment.",Keep bug/failure pages when they change interpretation and show the corrected evidence.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,00558f5289645182a95963da272ece15629b3c1479ba9e306c402ac2f8676394,acd4ebbe63dc1d671fe3527284944639588080c1f8ff0cf1335b526c6a878fea,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,After finding and fixing a bug,A bug-fix comparison is shown with the same predictive-check structure.
RRL-026,SRC-013,Bayesian Workflow,Andrew Gelman,Columbia / University of Washington Biostatistics,https://sites.stat.columbia.edu/gelman/presentations/bayesian_workflow.pdf,gelman_actual_bayesian_workflow.pdf,29,SIMULATION,simulate fake data in R,fake-data simulation,simulation title,code plus scatter,0.45/0.55,light code,simulated variation visible,none,The slide shows fake-data generation as part of model checking before refitting.,Simulation pages need visible data-generating mechanism and output.,"Do not copy whole-slide screenshots, institutional styling, public figures, private clinical data, or source-specific visual identity; redraw the organization with owned or synthetic evidence.",research group meeting; PhD update; supervisor decision; methods or results review,public PDF; metadata lessons only,inspected,00558f5289645182a95963da272ece15629b3c1479ba9e306c402ac2f8676394,afc214657716b639df63a72cdc8889a194d63a9e716852ab3ad0c3cf0e2e97b5,2026-08-18,local cached PDF page inspected with pdftotext and rendered with pdftoppm for page-specific checksum during reviewed-handoff corpus round,Simulate fake data in R,R code and simulated scatter expose the model-generated data.
